ticket_text,category,template_id
money taken but 0rder not confirmed ser1ou5ly,Payment,Payment_5
payment completed but app cr@shed,Payment,Payment_4
screen goes blank 0n payment,Technical,Technical_4
log1n n0t working @nymor3,Account,Account_3
Acc0unt su5pended suddenly immediately,Account,Account_5
amount d3b1ted but transacti0n un5uccessful,Payment,Payment_2
@ppl1cation fre3z3s frequently really frustrated,Technical,Technical_1
HOW TO CH@NGE EM@IL ADDRE55,Other,Other_5
money not refunded yet urgent,Refund,Refund_6
@CC0UNT VERIFICATI0N F@1LED,Account,Account_7
QUERY R3GARDING SUBSCRIPTI0N PLANS REALLY FRU5TRATED,Other,Other_4
refund 5t@tus not updat3d not a scam,Refund,Refund_9
Page ke3ps r3fre5h1ng,Technical,Technical_8
Unable to log in @fter upd@te,Account,Account_9
HOW TO UPDATE PR0FILE INFORMATION,Other,Other_1
Scr3en g0es blank on payment 1mm3diately,Technical,Technical_4
account su5p3nded sudd3nly ser1ou5ly,Account,Account_5
app crashes 0n ch3ckout,Technical,Technical_0
n0 update on refund request,Refund,Refund_4
refund st1ll p3nding,Refund,Refund_3
Refund pr0cess taking too l0ng this 1s unaccept@bl3,Refund,Refund_5
app not re5ponding need th15 r3s0lved today,Technical,Technical_5
checkout fa1led aft3r @mount was deducted,Payment,Payment_9
sy5tem failure while order1ng,Technical,Technical_7
CHARGED FOR AN ORDER THAT DID NOT COMPL3TE NEED THI5 RESOLVED TODAY,Payment,Payment_8
how to change email addr35s urgent,Other,Other_5
error 0ccur5 while pl@cing 0rder,Technical,Technical_3
cannot access my account,Account,Account_1
questi0n about loyalty p0int5,Other,Other_6
Refund pr0mised but not credited need thi5 re5olved today,Refund,Refund_2
SUPPORT NE3DED FOR GENERAL IS5UE,Other,Other_9
Amount deb1ted but transacti0n unsucce5sful,Payment,Payment_2
R3fund delayed bey0nd expect3d time this is unaccept@ble,Refund,Refund_8
payment successful but 0rd3r missing imm3di@tely,Payment,Payment_7
R3FUND NOT RECEIVED AFTER CANC3LLAT1ON,Refund,Refund_0
@cc0unt ver1f1cation failed r3ally frustrated,Account,Account_7
5CREEN G0ES BLANK ON P@YM3NT NEED THIS RESOLVED T0DAY,Technical,Technical_4
ne3d assi5tance with offers,Other,Other_3
refund not receiv3d @ft3r cancellati0n,Refund,Refund_0
